"","variance","skewness","curtosis","entropy","class"
"1",3.6216,8.6661,-2.8073,-0.44699,"authentic"
"2",4.5459,8.1674,-2.4586,-1.4621,"authentic"
"3",3.866,-2.6383,1.9242,0.10645,"authentic"
"4",3.4566,9.5228,-4.0112,-3.5944,"authentic"
"5",0.32924,-4.4552,4.5718,-0.9888,"authentic"
"6",4.3684,9.6718,-3.9606,-3.1625,"authentic"
"7",3.5912,3.0129,0.72888,0.56421,"authentic"
"8",2.0922,-6.81,8.4636,-0.60216,"authentic"
"9",3.2032,5.7588,-0.75345,-0.61251,"authentic"
"10",1.5356,9.1772,-2.2718,-0.73535,"authentic"
"11",1.2247,8.7779,-2.2135,-0.80647,"authentic"
"12",3.9899,-2.7066,2.3946,0.86291,"authentic"
"13",1.8993,7.6625,0.15394,-3.1108,"authentic"
"14",-1.5768,10.843,2.5462,-2.9362,"authentic"
"15",3.404,8.7261,-2.9915,-0.57242,"authentic"
"16",4.6765,-3.3895,3.4896,1.4771,"authentic"
"17",2.6719,3.0646,0.37158,0.58619,"authentic"
"18",0.80355,2.8473,4.3439,0.6017,"authentic"
"19",1.4479,-4.8794,8.3428,-2.1086,"authentic"
"20",5.2423,11.0272,-4.353,-4.1013,"authentic"
"21",5.7867,7.8902,-2.6196,-0.48708,"authentic"
"22",0.3292,-4.4552,4.5718,-0.9888,"authentic"
"23",3.9362,10.1622,-3.8235,-4.0172,"authentic"
"24",0.93584,8.8855,-1.6831,-1.6599,"authentic"
"25",4.4338,9.887,-4.6795,-3.7483,"authentic"
"26",0.7057,-5.4981,8.3368,-2.8715,"authentic"
"27",1.1432,-3.7413,5.5777,-0.63578,"authentic"
"28",-0.38214,8.3909,2.1624,-3.7405,"authentic"
"29",6.5633,9.8187,-4.4113,-3.2258,"authentic"
"30",4.8906,-3.3584,3.4202,1.0905,"authentic"
"31",-0.24811,-0.17797,4.9068,0.15429,"authentic"
"32",1.4884,3.6274,3.308,0.48921,"authentic"
"33",4.2969,7.617,-2.3874,-0.96164,"authentic"
"34",-0.96511,9.4111,1.7305,-4.8629,"authentic"
"35",-1.6162,0.80908,8.1628,0.60817,"authentic"
"36",2.4391,6.4417,-0.80743,-0.69139,"authentic"
"37",2.6881,6.0195,-0.46641,-0.69268,"authentic"
"38",3.6289,0.81322,1.6277,0.77627,"authentic"
"39",4.5679,3.1929,-2.1055,0.29653,"authentic"
"40",3.4805,9.7008,-3.7541,-3.4379,"authentic"
"41",4.1711,8.722,-3.0224,-0.59699,"authentic"
"42",-0.2062,9.2207,-3.7044,-6.8103,"authentic"
"43",-0.0068919,9.2931,-0.41243,-1.9638,"authentic"
"44",0.96441,5.8395,2.3235,0.066365,"authentic"
"45",2.8561,6.9176,-0.79372,0.48403,"authentic"
"46",-0.7869,9.5663,-3.7867,-7.5034,"authentic"
"47",2.0843,6.6258,0.48382,-2.2134,"authentic"
"48",-0.7869,9.5663,-3.7867,-7.5034,"authentic"
"49",3.9102,6.065,-2.4534,-0.68234,"authentic"
"50",1.6349,3.286,2.8753,0.087054,"authentic"
"51",4.3239,-4.8835,3.4356,-0.5776,"authentic"
"52",5.262,3.9834,-1.5572,1.0103,"authentic"
"53",3.1452,5.825,-0.51439,-1.4944,"authentic"
"54",2.549,6.1499,-1.1605,-1.2371,"authentic"
"55",4.9264,5.496,-2.4774,-0.50648,"authentic"
"56",4.8265,0.80287,1.6371,1.1875,"authentic"
"57",2.5635,6.7769,-0.61979,0.38576,"authentic"
"58",5.807,5.0097,-2.2384,0.43878,"authentic"
"59",3.1377,-4.1096,4.5701,0.98963,"authentic"
"60",-0.78289,11.3603,-0.37644,-7.0495,"authentic"
"61",2.888,0.44696,4.5907,-0.24398,"authentic"
"62",0.49665,5.527,1.7785,-0.47156,"authentic"
"63",4.2586,11.2962,-4.0943,-4.3457,"authentic"
"64",1.7939,-1.1174,1.5454,-0.26079,"authentic"
"65",5.4021,3.1039,-1.1536,1.5651,"authentic"
"66",2.5367,2.599,2.0938,0.20085,"authentic"
"67",4.6054,-4.0765,2.7587,0.31981,"authentic"
"68",2.4235,9.5332,-3.0789,-2.7746,"authentic"
"69",1.0009,7.7846,-0.28219,-2.6608,"authentic"
"70",0.12326,8.9848,-0.9351,-2.4332,"authentic"
"71",3.9529,-2.3548,2.3792,0.48274,"authentic"
"72",4.1373,0.49248,1.093,1.8276,"authentic"
"73",4.7181,10.0153,-3.9486,-3.8582,"authentic"
"74",4.1654,-3.4495,3.643,1.0879,"authentic"
"75",4.4069,10.9072,-4.5775,-4.4271,"authentic"
"76",2.3066,3.5364,0.57551,0.41938,"authentic"
"77",3.7935,7.9853,-2.5477,-1.872,"authentic"
"78",0.049175,6.1437,1.7828,-0.72113,"authentic"
"79",0.24835,7.6439,0.9885,-0.87371,"authentic"
"80",1.1317,3.9647,3.3979,0.84351,"authentic"
"81",2.8033,9.0862,-3.3668,-1.0224,"authentic"
"82",4.4682,2.2907,0.95766,0.83058,"authentic"
"83",5.0185,8.5978,-2.9375,-1.281,"authentic"
"84",1.8664,7.7763,-0.23849,-2.9634,"authentic"
"85",3.245,6.63,-0.63435,0.86937,"authentic"
"86",4.0296,2.6756,0.80685,0.71679,"authentic"
"87",-1.1313,1.9037,7.5339,1.022,"authentic"
"88",0.87603,6.8141,0.84198,-0.17156,"authentic"
"89",4.1197,-2.7956,2.0707,0.67412,"authentic"
"90",3.8027,0.81529,2.1041,1.0245,"authentic"
"91",1.4806,7.6377,-2.7876,-1.0341,"authentic"
"92",4.0632,3.584,0.72545,0.39481,"authentic"
"93",4.3064,8.2068,-2.7824,-1.4336,"authentic"
"94",2.4486,-6.3175,7.9632,0.20602,"authentic"
"95",3.2718,1.7837,2.1161,0.61334,"authentic"
"96",-0.64472,-4.6062,8.347,-2.7099,"authentic"
"97",2.9543,1.076,0.64577,0.89394,"authentic"
"98",2.1616,-6.8804,8.1517,-0.081048,"authentic"
"99",3.82,10.9279,-4.0112,-5.0284,"authentic"
"100",-2.7419,11.4038,2.5394,-5.5793,"authentic"
"101",3.3669,-5.1856,3.6935,-1.1427,"authentic"
"102",4.5597,-2.4211,2.6413,1.6168,"authentic"
"103",5.1129,-0.49871,0.62863,1.1189,"authentic"
